"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"1","Afghanistan",1971,NA,NA,NA,NA,NA
"2","Albania",1971,0.79,1.41,0.72,0.97,NA
"3","Algeria",1971,3.06,1.42,2.63,1.8,NA
"4","Angola",1971,0.22,0.31,1.02,0.12,NA
"5","Antigua & Barbuda",1971,NA,NA,NA,NA,NA
"6","Argentina",1971,29.1,16.72,23.88,13.07,NA
"7","Armenia",1971,NA,NA,NA,NA,NA
"8","Australia",1971,53.09,47.19,33.03,10.82,NA
"9","Austria",1971,11.74,13.55,9.79,13.63,NA
"10","Azerbaijan",1971,NA,NA,NA,NA,NA
"11","Bahamas, The",1971,NA,NA,NA,NA,NA
"12","Bahrain",1971,2.36,0.42,0.18,0.05,NA
"13","Bangladesh",1971,0.8,1.27,0.25,0.87,NA
"14","Barbados",1971,NA,NA,NA,NA,NA
"15","Belarus",1971,NA,NA,NA,NA,NA
"16","Belgium",1971,31.45,41.07,11.71,32.61,NA
"17","Belize",1971,NA,NA,NA,NA,NA
"18","Benin",1971,0,0.01,0.25,0.04,NA
"19","Bhutan",1971,NA,NA,NA,NA,NA
"20","Bolivia",1971,0.39,0.45,0.97,0.37,NA
"21","Bosnia & Herzegovina",1971,1.9359,5.2445,1.6566,2.1988,NA
"22","Botswana",1971,NA,NA,NA,NA,NA
"23","Brazil",1971,12.62,27.83,41.95,7.85,NA
"24","Brunei",1971,0.23,0.07,0.08,0.02,NA
"25","Bulgaria",1971,21.68,10.64,5.11,25.41,NA
"26","Burkina Faso",1971,NA,NA,NA,NA,NA
"27","Burundi",1971,NA,NA,NA,NA,NA
"28","Cambodia",1971,NA,NA,NA,NA,NA
"29","Cameroon",1971,0.03,0.08,0.56,0.06,NA
"30","Canada",1971,79.48,78.96,83.4,97.73,NA
"31","Cape Verde",1971,NA,NA,NA,NA,NA
"32","Central African Republic",1971,NA,NA,NA,NA,NA
"33","Chad",1971,NA,NA,NA,NA,NA
"34","Chile",1971,6.25,6.01,5.96,2.62,NA
"35","China",1971,133.25,420.76,46.8,214.75,NA
"36","Colombia",1971,6.2,8.68,6.69,5.11,NA
"37","Comoros",1971,NA,NA,NA,NA,NA
"38","Congo, Dem. Rep.",1971,0.07,0.98,0.41,1.06,NA
"39","Congo, Rep.",1971,0.04,0.15,0.34,0.04,NA
"40","Cook Islands",1971,NA,NA,NA,NA,NA
"41","Costa Rica",1971,0.18,0.33,0.67,0.08,NA
"42","Cote d'Ivoire",1971,0.54,0.7,0.87,0.28,NA
"43","Croatia",1971,2.6729,5.9122,3.6333,1.5837,NA
"44","Cuba",1971,4.49,8.92,4.11,3.07,NA
"45","Cyprus",1971,0.63,0.44,0.59,0.11,NA
