"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"46","Czech Republic",1971,36.12,68.36,5.66,40.81,NA
"47","Denmark",1971,14.81,9.92,7.38,22.91,NA
"48","Djibouti",1971,NA,NA,NA,NA,NA
"49","Dominica",1971,NA,NA,NA,NA,NA
"50","Dominican Republic",1971,1.2,0.66,1.4,0.19,NA
"51","Ecuador",1971,0.72,0.55,1.83,0.44,NA
"52","Egypt",1971,3.16,9.12,3.96,4.4,NA
"53","El Salvador",1971,0.26,0.46,0.56,0.15,NA
"54","Equatorial Guinea",1971,NA,NA,NA,NA,NA
"55","Eritrea",1971,NA,NA,NA,NA,NA
"56","Estonia",1971,NA,NA,NA,NA,NA
"57","Ethiopia",1971,0.41,0.29,0.54,0.08,NA
"58","European Union (15)",1971,993.4,865.86,383.78,752.88,NA
"59","European Union (28)",1971,1277.3079,1086.933,448.3444,921.9016,NA
"60","Fiji",1971,NA,NA,NA,NA,NA
"61","Finland",1971,9.48,12.56,6.26,11.48,NA
"62","France",1971,108.35,146.72,59.88,116.93,NA
"63","Gabon",1971,0.08,0.4,0,0,NA
"64","Gambia, The",1971,NA,NA,NA,NA,NA
"65","Georgia",1971,NA,NA,NA,NA,NA
"66","Germany",1971,375.86,252.21,99.24,251.32,NA
"67","Ghana",1971,0.08,0.43,1.03,0.38,NA
"68","Greece",1971,8.59,6.56,4.84,5.2,NA
"69","Grenada",1971,NA,NA,NA,NA,NA
"70","Guatemala",1971,0.5,0.86,0.67,0.26,NA
"71","Guinea",1971,NA,NA,NA,NA,NA
"72","Guinea-Bissau",1971,NA,NA,NA,NA,NA
"73","Guyana",1971,NA,NA,NA,NA,NA
"74","Haiti",1971,0.06,0.15,0.14,0.02,NA
"75","Honduras",1971,0.21,0.28,0.45,0.17,NA
"76","Hungary",1971,21.26,16.65,7.05,15.35,NA
"77","Iceland",1971,0.03,0.27,0.3,0.79,NA
"78","India",1971,44.06,70.31,48.43,37.98,NA
"79","Indonesia",1971,5.5,5.12,8.02,6.49,NA
"80","Iran",1971,10.37,11.99,7.45,11.84,NA
"81","Iraq",1971,4.17,1.6,2.44,2.15,NA
"82","Ireland",1971,6.85,5.53,2.86,6.47,NA
"83","Israel",1971,6.43,3.19,3.13,1.67,NA
"84","Italy",1971,75.17,98.04,47.67,72.06,NA
"85","Jamaica",1971,1.67,1.96,1.59,0.3,NA
"86","Japan",1971,277.81,274.56,103.08,103.34,NA
"87","Jordan",1971,0.31,0.15,0.51,0.36,NA
"88","Kazakhstan",1971,NA,NA,NA,NA,NA
"89","Kenya",1971,0.46,0.62,1.53,0.62,NA
"90","Kiribati",1971,NA,NA,NA,NA,NA
"91","Korea, Dem. Rep. (North)",1971,7.61,46.55,1.76,11.59,NA
"92","Korea, Rep. (South)",1971,9.76,15.92,6.42,19.97,NA
"93","Kuwait",1971,6.09,2.68,1.92,3.35,NA
"94","Kyrgyzstan",1971,NA,NA,NA,NA,NA
"95","Laos",1971,NA,NA,NA,NA,NA
"96","Latvia",1971,NA,NA,NA,NA,NA
"97","Lebanon",1971,0.84,1.44,1.24,1.01,NA
"98","Lesotho",1971,NA,NA,NA,NA,NA
"99","Liberia",1971,NA,NA,NA,NA,NA
"100","Libya",1971,2.04,0.68,0.65,0.36,NA
"101","Lithuania",1971,NA,NA,NA,NA,NA
"102","Luxembourg",1971,3.2,10.42,0.53,1.28,NA
"103","Macedonia, FYR",1971,1.553,1.7043,1.0066,0.2859,NA
"104","Madagascar",1971,NA,NA,NA,NA,NA
"105","Malawi",1971,NA,NA,NA,NA,NA
"106","Malaysia",1971,2.13,6.13,4.04,0.4,NA
"107","Maldives",1971,NA,NA,NA,NA,NA
"108","Mali",1971,NA,NA,NA,NA,NA
"109","Malta",1971,0.35,0,0.2,0.1,NA
"110","Mauritania",1971,NA,NA,NA,NA,NA
"111","Mauritius",1971,0.05,0.03,0.13,0.05,NA
"112","Mexico",1971,23.61,31.46,29.92,12.04,NA
"113","Moldova",1971,NA,NA,NA,NA,NA
"114","Mongolia",1971,NA,NA,NA,NA,NA
"115","Montenegro",1971,NA,NA,NA,NA,NA
"116","Morocco",1971,0.92,3.05,1.72,1.15,NA
"117","Mozambique",1971,0.57,1.45,0.31,0.56,NA
"118","Myanmar",1971,0.44,1.69,1.53,0.91,NA
"119","Namibia",1971,NA,NA,NA,NA,NA
"120","Nauru",1971,NA,NA,NA,NA,NA
"121","Nepal",1971,0.03,0.03,0.06,0.07,NA
"122","Netherlands",1971,42.39,30.44,16.88,39.86,NA
"123","New Zealand",1971,1.48,4.48,5,2.49,NA
"124","Nicaragua",1971,0.42,0.17,0.68,0.19,NA
"125","Niger",1971,NA,NA,NA,NA,NA
"126","Nigeria",1971,0.97,1.11,2.94,0.89,NA
"127","Niue",1971,NA,NA,NA,NA,NA
"128","Norway",1971,0.56,9.23,6.76,6.95,NA
"129","Oman",1971,0.01,0.02,0.09,0.13,NA
"130","Pakistan",1971,2.87,5.89,3.15,4.69,NA
"131","Palau",1971,NA,NA,NA,NA,NA
"132","Panama",1971,1.34,0.32,0.78,0.11,NA
"133","Papua New Guinea",1971,NA,NA,NA,NA,NA
"134","Paraguay",1971,0.07,0.07,0.39,0.03,NA
"135","Peru",1971,2.43,4.17,5.21,3.76,NA
"136","Philippines",1971,6.04,5.18,8.84,2.99,NA
"137","Poland",1971,145.86,54.66,27.74,58.41,NA
"138","Portugal",1971,3.2,4.78,3.9,2.56,NA
"139","Qatar",1971,1.17,0.81,0.23,0.01,NA
"140","Romania",1971,43.77,44.05,8.2,18.84,NA
"141","Russian Federation",1971,NA,NA,NA,NA,NA
"142","Rwanda",1971,NA,NA,NA,NA,NA
"143","Saint Kitts & Nevis",1971,NA,NA,NA,NA,NA
"144","Saint Lucia",1971,NA,NA,NA,NA,NA
"145","Saint Vincent & Grenadines",1971,NA,NA,NA,NA,NA
"146","Samoa",1971,NA,NA,NA,NA,NA
"147","Sao Tome & Principe",1971,NA,NA,NA,NA,NA
"148","Saudi Arabia",1971,6.94,1.95,3.29,0.57,NA
"149","Senegal",1971,0.39,0.32,0.43,0.07,NA
"150","Serbia",1971,10.2132,9.4482,3.5825,2.9438,NA
"151","Seychelles",1971,NA,NA,NA,NA,NA
"152","Sierra Leone",1971,NA,NA,NA,NA,NA
"153","Singapore",1971,3.75,0.55,1.51,0.32,NA
"154","Slovakia",1971,10.11,17.49,4.22,7.24,NA
"155","Slovenia",1971,1.4551,2.8708,2.161,1.1679,NA
"156","Solomon Islands",1971,NA,NA,NA,NA,NA
"157","South Africa",1971,65.81,45.73,28.3,16.86,NA
"158","Spain",1971,28.45,49.4,25.28,16.77,NA
"159","Sri Lanka",1971,0.25,0.3,1.34,0.84,NA
"160","Sudan",1971,0.25,0.67,2.03,0.31,NA
"161","Suriname",1971,NA,NA,NA,NA,NA
"162","Swaziland",1971,NA,NA,NA,NA,NA
"163","Sweden",1971,10.17,23.63,13.85,34.78,NA
"164","Switzerland",1971,2.1,9.05,9.18,18.62,NA
"165","Syria",1971,1.23,2.26,1.43,1.1,NA
"166","Tajikistan",1971,NA,NA,NA,NA,NA
"167","Tanzania",1971,0.27,0.36,0.7,0.19,NA
"168","Thailand",1971,2.96,4.49,5.67,3.12,NA
"169","Togo",1971,0.07,0,0.2,0.06,NA
"170","Tonga",1971,NA,NA,NA,NA,NA
"171","Trinidad & Tobago",1971,4.42,0.87,0.72,0.14,NA
"172","Tunisia",1971,1.02,0.96,0.88,0.83,NA
"173","Turkey",1971,10.12,8.37,10.96,11.96,NA
"174","Turkmenistan",1971,NA,NA,NA,NA,NA
"175","Uganda",1971,NA,NA,NA,NA,NA
"176","Ukraine",1971,NA,NA,NA,NA,NA
"177","United Arab Emirates",1971,0.15,1.9,0.4,0,NA
"178","United Kingdom",1971,263.69,161.03,73.71,125.02,NA
"179","United States",1971,1413.61,908.77,1081.17,887.77,NA
"180","Uruguay",1971,1.06,1.51,1.7,0.94,NA
"181","Uzbekistan",1971,NA,NA,NA,NA,NA
"182","Vanuatu",1971,NA,NA,NA,NA,NA
"183","Venezuela",1971,27.69,9.46,11.87,3.04,NA
"184","Vietnam",1971,1.83,0.09,2.78,11.44,NA
"185","World",1971,4469.12,3831.73,2859.64,2924.3,NA
"186","Yemen",1971,0.37,0,0.65,0.17,NA
"187","Zambia",1971,0.35,2.19,0.62,0.26,NA
"188","Zimbabwe",1971,1.33,2.75,2.05,1.1,NA
"189","Afghanistan",1972,NA,NA,NA,NA,NA
"190","Albania",1972,0.83,1.82,0.77,1.07,NA
"191","Algeria",1972,3.31,1.98,2.61,2.09,NA
"192","Angola",1972,0.25,0.39,1.7,0.14,NA
"193","Antigua & Barbuda",1972,NA,NA,NA,NA,NA
"194","Argentina",1972,30.8,15,25.53,12.41,NA
"195","Armenia",1972,NA,NA,NA,NA,NA
"196","Australia",1972,58.16,45.83,33.99,10.96,NA
"197","Austria",1972,12.03,13.91,10.67,13.89,NA
"198","Azerbaijan",1972,NA,NA,NA,NA,NA
"199","Bahamas, The",1972,NA,NA,NA,NA,NA
"200","Bahrain",1972,2.61,0.54,0.22,0.04,NA
"201","Bangladesh",1972,0.8,1.25,0.25,0.87,NA
"202","Barbados",1972,NA,NA,NA,NA,NA
"203","Belarus",1972,NA,NA,NA,NA,NA
"204","Belgium",1972,35.06,43.28,12.52,35.81,NA
"205","Belize",1972,NA,NA,NA,NA,NA
"206","Benin",1972,0,0.02,0.32,0.06,NA
"207","Bhutan",1972,NA,NA,NA,NA,NA
"208","Bolivia",1972,0.4,0.54,1.05,0.4,NA
"209","Bosnia & Herzegovina",1972,2.1097,4.8883,1.5465,2.266,NA
"210","Botswana",1972,NA,NA,NA,NA,NA
"211","Brazil",1972,11.67,30.41,47.26,9.01,NA
"212","Brunei",1972,0.24,0.07,0.06,0.02,NA
"213","Bulgaria",1972,23.18,10.77,4.86,25.99,NA
"214","Burkina Faso",1972,NA,NA,NA,NA,NA
"215","Burundi",1972,NA,NA,NA,NA,NA
"216","Cambodia",1972,NA,NA,NA,NA,NA
"217","Cameroon",1972,0.04,0.08,0.61,0.03,NA
"218","Canada",1972,82.04,81.72,89.2,104.97,NA
"219","Cape Verde",1972,NA,NA,NA,NA,NA
"220","Central African Republic",1972,NA,NA,NA,NA,NA
"221","Chad",1972,NA,NA,NA,NA,NA
"222","Chile",1972,5.58,6.12,5.77,2.95,NA
"223","China",1972,144.65,444.58,51.44,227.65,NA
"224","Colombia",1972,6.1,8.54,7.06,5.63,NA
"225","Comoros",1972,NA,NA,NA,NA,NA
"226","Congo, Dem. Rep.",1972,0.07,0.98,0.44,1.1,NA
"227","Congo, Rep.",1972,0.04,0.14,0.38,0.04,NA
"228","Cook Islands",1972,NA,NA,NA,NA,NA
"229","Costa Rica",1972,0.24,0.33,0.76,0.09,NA
"230","Cote d'Ivoire",1972,0.55,0.83,0.95,0.31,NA
"231","Croatia",1972,3.0305,5.5107,3.3919,1.6321,NA
"232","Cuba",1972,4.79,7.94,4,3.3,NA
"233","Cyprus",1972,0.86,0.56,0.66,0.12,NA
"234","Czech Republic",1972,39.09,66.14,5.97,38.84,NA
"235","Denmark",1972,16.5,10.21,7.6,22.74,NA
"236","Djibouti",1972,NA,NA,NA,NA,NA
"237","Dominica",1972,NA,NA,NA,NA,NA
"238","Dominican Republic",1972,1.96,0.9,1.48,0.19,NA
"239","Ecuador",1972,0.81,0.51,1.81,0.47,NA
"240","Egypt",1972,3.14,10.19,4.56,5.15,NA
"241","El Salvador",1972,0.4,0.43,0.63,0.17,NA
"242","Equatorial Guinea",1972,NA,NA,NA,NA,NA
"243","Eritrea",1972,NA,NA,NA,NA,NA
"244","Estonia",1972,NA,NA,NA,NA,NA
"245","Ethiopia",1972,0.39,0.24,0.51,0.09,NA
"246","European Union (15)",1972,1017.42,869.4,405.52,787.32,NA
"247","European Union (28)",1972,1320.2772,1086.7466,470.9194,959.4757,NA
"248","Fiji",1972,NA,NA,NA,NA,NA
"249","Finland",1972,9.83,15.73,6.62,11.54,NA
"250","France",1972,110.22,140.61,65.21,132.59,NA
"251","Gabon",1972,0.09,0.38,0,0,NA
"252","Gambia, The",1972,NA,NA,NA,NA,NA
"253","Georgia",1972,NA,NA,NA,NA,NA
"254","Germany",1972,388.89,254.66,103.23,256.46,NA
"255","Ghana",1972,0.12,0.45,1.04,0.42,NA
"256","Greece",1972,10.34,7.55,5.62,5.67,NA
"257","Grenada",1972,NA,NA,NA,NA,NA
"258","Guatemala",1972,0.66,0.77,0.81,0.28,NA
"259","Guinea",1972,NA,NA,NA,NA,NA
"260","Guinea-Bissau",1972,NA,NA,NA,NA,NA
"261","Guyana",1972,NA,NA,NA,NA,NA
"262","Haiti",1972,0.02,0.16,0.16,0.02,NA
"263","Honduras",1972,0.17,0.31,0.48,0.18,NA
"264","Hungary",1972,22.87,17.26,6.61,15.47,NA
"265","Iceland",1972,0.03,0.3,0.32,0.84,NA
"266","India",1972,49.16,74.01,48.4,37.17,NA
"267","Indonesia",1972,6.48,5.49,8.64,7.63,NA
"268","Iran",1972,11.05,13.15,8.18,13.72,NA
"269","Iraq",1972,5.08,1.71,2.74,1.98,NA
"270","Ireland",1972,6.79,5.29,3.04,6.28,NA
"271","Israel",1972,6.92,3.33,3.12,1.81,NA
"272","Italy",1972,80.16,100.53,50.9,77.93,NA
"273","Jamaica",1972,1.94,2.32,1.48,0.32,NA
"274","Japan",1972,291.31,289.62,107.44,109.98,NA
"275","Jordan",1972,0.4,0.14,0.62,0.33,NA
"276","Kazakhstan",1972,NA,NA,NA,NA,NA
"277","Kenya",1972,0.5,0.69,1.53,0.69,NA
"278","Kiribati",1972,NA,NA,NA,NA,NA
"279","Korea, Dem. Rep. (North)",1972,8.5,47.54,1.85,11.92,NA
"280","Korea, Rep. (South)",1972,11.14,15.38,5.93,21.5,NA
"281","Kuwait",1972,6.75,2.93,2.14,3.62,NA
"282","Kyrgyzstan",1972,NA,NA,NA,NA,NA
"283","Laos",1972,NA,NA,NA,NA,NA
"284","Latvia",1972,NA,NA,NA,NA,NA
"285","Lebanon",1972,1.03,1.37,1.36,1.17,NA
"286","Lesotho",1972,NA,NA,NA,NA,NA
"287","Liberia",1972,NA,NA,NA,NA,NA
"288","Libya",1972,2.79,0.88,1.29,0.44,NA
"289","Lithuania",1972,NA,NA,NA,NA,NA
"290","Luxembourg",1972,3.09,9.99,0.59,1.46,NA
"291","Macedonia, FYR",1972,1.6924,1.5886,0.9397,0.2946,NA
"292","Madagascar",1972,NA,NA,NA,NA,NA
"293","Malawi",1972,NA,NA,NA,NA,NA
"294","Malaysia",1972,2.59,5.25,4.15,0.51,NA
"295","Maldives",1972,NA,NA,NA,NA,NA
"296","Mali",1972,NA,NA,NA,NA,NA
"297","Malta",1972,0.53,0,0.21,0.08,NA
"298","Mauritania",1972,NA,NA,NA,NA,NA
"299","Mauritius",1972,0.05,0.03,0.15,0.05,NA
"300","Mexico",1972,29.19,34.77,33.27,12.88,NA
"301","Moldova",1972,NA,NA,NA,NA,NA
"302","Mongolia",1972,NA,NA,NA,NA,NA
"303","Montenegro",1972,NA,NA,NA,NA,NA
"304","Morocco",1972,1.25,3.15,1.84,1.25,NA
"305","Mozambique",1972,0.52,1.24,0.28,0.58,NA
"306","Myanmar",1972,0.51,1.54,1.48,0.91,NA
"307","Namibia",1972,NA,NA,NA,NA,NA
"308","Nauru",1972,NA,NA,NA,NA,NA
"309","Nepal",1972,0.03,0.06,0.06,0.11,NA
"310","Netherlands",1972,45.33,35.13,18.06,46.97,NA
"311","New Zealand",1972,2.1,5.05,5.57,2.72,NA
"312","Nicaragua",1972,0.41,0.18,0.72,0.2,NA
"313","Niger",1972,NA,NA,NA,NA,NA
"314","Nigeria",1972,1.25,1.44,3.43,1.01,NA
"315","Niue",1972,NA,NA,NA,NA,NA
"316","Norway",1972,0.48,9.7,6.92,6.96,NA
"317","Oman",1972,0.03,0.02,0.09,0.12,NA
"318","Pakistan",1972,2.84,6.51,2.95,4.46,NA
"319","Palau",1972,NA,NA,NA,NA,NA
"320","Panama",1972,1.43,0.34,0.81,0.12,NA
"321","Papua New Guinea",1972,NA,NA,NA,NA,NA
"322","Paraguay",1972,0.09,0.09,0.41,0.04,NA
"323","Peru",1972,2.63,4.3,5.58,3.03,NA
"324","Philippines",1972,6.15,5.8,9.06,3.01,NA
"325","Poland",1972,154.59,56.76,28.8,58.21,NA
"326","Portugal",1972,2.99,4.79,4.26,2.61,NA
"327","Qatar",1972,1.27,0.9,0.27,0.02,NA
"328","Romania",1972,46.87,40.21,8.47,23.03,NA
"329","Russian Federation",1972,NA,NA,NA,NA,NA
"330","Rwanda",1972,NA,NA,NA,NA,NA
"331","Saint Kitts & Nevis",1972,NA,NA,NA,NA,NA
"332","Saint Lucia",1972,NA,NA,NA,NA,NA
"333","Saint Vincent & Grenadines",1972,NA,NA,NA,NA,NA
"334","Samoa",1972,NA,NA,NA,NA,NA
"335","Sao Tome & Principe",1972,NA,NA,NA,NA,NA
"336","Saudi Arabia",1972,7.61,2.27,3.91,0.66,NA
"337","Senegal",1972,0.4,0.32,0.46,0.07,NA
"338","Serbia",1972,11.1307,8.8065,3.3444,3.0337,NA
"339","Seychelles",1972,NA,NA,NA,NA,NA
"340","Sierra Leone",1972,NA,NA,NA,NA,NA
"341","Singapore",1972,5,0.46,1.6,0.25,NA
"342","Slovakia",1972,10.25,17.46,4.41,7.58,NA
"343","Slovenia",1972,1.5867,2.6758,2.0174,1.2036,NA
"344","Solomon Islands",1972,NA,NA,NA,NA,NA
"345","South Africa",1972,69.68,47.24,28.45,17.07,NA
"346","Spain",1972,32.49,48.96,26.88,17.46,NA
"347","Sri Lanka",1972,0.33,0.51,1.68,0.84,NA
"348","Sudan",1972,0.21,0.9,2.16,0.2,NA
"349","Suriname",1972,NA,NA,NA,NA,NA
"350","Swaziland",1972,NA,NA,NA,NA,NA
"351","Sweden",1972,10.47,22.85,14.14,35.14,NA
"352","Switzerland",1972,2.31,8.91,9.51,18.67,NA
"353","Syria",1972,1.38,1.66,1.63,1.15,NA
"354","Tajikistan",1972,NA,NA,NA,NA,NA
"355","Tanzania",1972,0.34,0.33,0.84,0.21,NA
"356","Thailand",1972,3.82,4.99,6.22,3.27,NA
"357","Togo",1972,0.1,0,0.21,0.05,NA
"358","Tonga",1972,NA,NA,NA,NA,NA
"359","Trinidad & Tobago",1972,4.38,0.94,0.82,0.13,NA
"360","Tunisia",1972,1.1,1.12,0.97,0.89,NA
"361","Turkey",1972,10.89,11.28,12.15,14.3,NA
"362","Turkmenistan",1972,NA,NA,NA,NA,NA
"363","Uganda",1972,NA,NA,NA,NA,NA
"364","Ukraine",1972,NA,NA,NA,NA,NA
"365","United Arab Emirates",1972,0.34,1.69,0.54,0,NA
"366","United Kingdom",1972,253.23,155.91,76.18,120.77,NA
"367","United States",1972,1551.24,931.22,1148.75,900.77,NA
"368","Uruguay",1972,1.48,1.45,1.82,0.91,NA
"369","Uzbekistan",1972,NA,NA,NA,NA,NA
"370","Vanuatu",1972,NA,NA,NA,NA,NA
"371","Venezuela",1972,26.58,11.11,12.89,3.16,NA
"372","Vietnam",1972,1.93,0.03,2.87,10.89,NA
"373","World",1972,4765.11,3953.69,3026.81,3033.12,NA
"374","Yemen",1972,0.36,0,0.91,0.17,NA
"375","Zambia",1972,0.34,2.54,0.68,0.29,NA
"376","Zimbabwe",1972,1.24,2.32,2.25,1.06,NA
"377","Afghanistan",1973,NA,NA,NA,NA,NA
"378","Albania",1973,0.84,1.01,0.78,1.27,NA
"379","Algeria",1973,3.68,2.28,2.95,2.49,NA
"380","Angola",1973,0.27,0.4,1.43,0.14,NA
"381","Antigua & Barbuda",1973,NA,NA,NA,NA,NA
"382","Argentina",1973,30.69,15.94,26,14.89,NA
"383","Armenia",1973,NA,NA,NA,NA,NA
"384","Australia",1973,59.57,48.23,37.68,13.05,NA
"385","Austria",1973,12.31,14.86,11.44,15.38,NA
"386","Azerbaijan",1973,NA,NA,NA,NA,NA
"387","Bahamas, The",1973,NA,NA,NA,NA,NA
"388","Bahrain",1973,2.73,1.37,0.23,0.04,NA
"389","Bangladesh",1973,1.16,1.8,0.23,0.73,NA
"390","Barbados",1973,NA,NA,NA,NA,NA
"391","Belarus",1973,NA,NA,NA,NA,NA
"392","Belgium",1973,37.8,45.77,12.82,36.34,NA
"393","Belize",1973,NA,NA,NA,NA,NA
"394","Benin",1973,0.02,0.01,0.31,0.06,NA
"395","Bhutan",1973,NA,NA,NA,NA,NA
"396","Bolivia",1973,0.45,0.5,1.13,0.45,NA
"397","Bosnia & Herzegovina",1973,2.4166,5.5756,1.5754,2.1316,NA
"398","Botswana",1973,NA,NA,NA,NA,NA
"399","Brazil",1973,13.43,35.85,55.71,10.45,NA
"400","Brunei",1973,0.53,0.06,0.08,0.02,NA
"401","Bulgaria",1973,23.27,10.65,4.76,27.94,NA
"402","Burkina Faso",1973,NA,NA,NA,NA,NA
"403","Burundi",1973,NA,NA,NA,NA,NA
"404","Cambodia",1973,NA,NA,NA,NA,NA
"405","Cameroon",1973,0.04,0.07,0.63,0.04,NA
"406","Canada",1973,86.08,98.83,97.28,93.79,NA
"407","Cape Verde",1973,NA,NA,NA,NA,NA
"408","Central African Republic",1973,NA,NA,NA,NA,NA
"409","Chad",1973,NA,NA,NA,NA,NA
"410","Chile",1973,5.29,6,5.43,3.1,NA
"411","China",1973,157.12,456.3,55.84,233.55,NA
"412","Colombia",1973,6.64,8.78,7.61,5.62,NA
"413","Comoros",1973,NA,NA,NA,NA,NA
"414","Congo, Dem. Rep.",1973,0.07,0.82,0.49,1.19,NA
"415","Congo, Rep.",1973,0.06,0.14,0.36,0.04,NA
"416","Cook Islands",1973,NA,NA,NA,NA,NA
"417","Costa Rica",1973,0.28,0.41,0.83,0.09,NA
"418","Cote d'Ivoire",1973,0.79,0.73,0.9,0.27,NA
"419","Croatia",1973,2.9641,6.2856,3.4553,1.5353,NA
"420","Cuba",1973,5.63,7.86,4.37,3.62,NA
"421","Cyprus",1973,0.9,0.56,0.73,0.12,NA
"422","Czech Republic",1973,40.72,64.21,6.39,35.78,NA
"423","Denmark",1973,15.38,9.53,7.94,23.19,NA
"424","Djibouti",1973,NA,NA,NA,NA,NA
"425","Dominica",1973,NA,NA,NA,NA,NA
"426","Dominican Republic",1973,1.96,0.88,1.55,0.2,NA
"427","Ecuador",1973,0.93,0.53,2.04,0.53,NA
"428","Egypt",1973,3.24,8.69,4.43,4.77,NA
"429","El Salvador",1973,0.43,0.56,0.66,0.15,NA
"430","Equatorial Guinea",1973,NA,NA,NA,NA,NA
"431","Eritrea",1973,NA,NA,NA,NA,NA
"432","Estonia",1973,NA,NA,NA,NA,NA
"433","Ethiopia",1973,0.33,0.3,0.57,0.1,NA
"434","European Union (15)",1973,1088.72,914.48,434.06,823.87,NA
"435","European Union (28)",1973,1408.2375,1137.3676,501.3004,1002.7275,NA
"436","Fiji",1973,NA,NA,NA,NA,NA
"437","Finland",1973,10.91,17.57,7.14,12.39,NA
"438","France",1973,127.83,136.79,71.61,148.59,NA
"439","Gabon",1973,0.11,0.42,0.04,0.04,NA
"440","Gambia, The",1973,NA,NA,NA,NA,NA
"441","Georgia",1973,NA,NA,NA,NA,NA
"442","Germany",1973,403.71,272.57,106.17,270.67,NA
"443","Ghana",1973,0.11,0.46,1.09,0.43,NA
"444","Greece",1973,12.86,8.66,6.14,6.42,NA
"445","Grenada",1973,NA,NA,NA,NA,NA
"446","Guatemala",1973,0.71,0.68,0.94,0.32,NA
"447","Guinea",1973,NA,NA,NA,NA,NA
"448","Guinea-Bissau",1973,NA,NA,NA,NA,NA
"449","Guyana",1973,NA,NA,NA,NA,NA
"450","Haiti",1973,0.01,0.16,0.17,0.02,NA
"451","Honduras",1973,0.18,0.34,0.53,0.21,NA
"452","Hungary",1973,24.48,18.32,6.94,16.88,NA
"453","Iceland",1973,0.06,0.35,0.38,0.88,NA
"454","India",1973,50.69,73.01,46.61,38.39,NA
"455","Indonesia",1973,8.56,5.82,9.16,8.44,NA
"456","Iran",1973,13.92,15.81,10.25,15.87,NA
"457","Iraq",1973,4.74,2.01,2.91,2.15,NA
"458","Ireland",1973,6.42,4.94,3.36,6.18,NA
"459","Israel",1973,7.38,3.52,3.4,1.89,NA
"460","Italy",1973,91.48,105.47,54.66,79.45,NA
"461","Jamaica",1973,2.17,3.71,1.63,0.5,NA
"462","Japan",1973,349.57,315.43,117.73,124.84,NA
"463","Jordan",1973,0.43,0.23,0.7,0.34,NA
"464","Kazakhstan",1973,NA,NA,NA,NA,NA
"465","Kenya",1973,0.52,0.65,1.64,0.7,NA
"466","Kiribati",1973,NA,NA,NA,NA,NA
