"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Bolivia","BOL","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.04","","","53.55","","","","58.16","","58.1","63","58.88","60.16","","55.01","58.47","56.9","55.44","51.43","49.65","","46.26","46.64","","",
"Brazil","BRA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","55.59","58.46","59.69","61.43","63.3","60.49","","53.17","60.12","","59.57","59.89","59.8","59.61","58.99","","59.33","58.62","58.01","56.88","56.65","55.93","55.23","54.37","53.87","","53.09","52.67","","",
"Barbados","BRB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.83","","","","38.06","","","","","38.73","","",
"Botswana","BWA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","54.21","","","","","","","","","60.96","","","","","","","","","64.73","","","","","","60.46","","","","","",
"Central African Republic","CAF","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.33","","","","","","","","","","","43.57","","","","","56.3","","","","","","",
"Canada","CAN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6","","","","31.15","","","31.39","","","31.77","33.59","","33.65","","","","33.88","","","33.9","","","33.68","","","","",
"Central Europe and the Baltics","CEB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1","","","","","","","","33.66","","32.08","","32.35","","","","","","","","","","",
"Channel Islands","CHI","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.21","","","57.25","","54.77","","56.43","","54.87","","55.52","","55.22","","","54.74","","","51.79","","","52","","50.84","","","",
"China","CHN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.85","","","32.43","","","35.5","","","35.7","","","39.23","","","42.59","","","42.48","","","42.63","","42.06","37.0120751713004","","","",
"Cote d'Ivoire","CIV","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","45.57","38.62","40.43","36.89","","","","","39.34","","36.68","","","39.06","","","","41.47","","","","","","43.19","","","","","","",
"Cameroon","CMR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.57","","","","","42.13","","","","","","40.72","","","","","","","",
"Congo, Rep.","COG","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.32","","","","","","40.17","","","",
"Colombia","COL","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.11","53.59","","51.32","51.45","","","","56.94","","","58.74","58.68","57.77","57.51","54.42","56.12","55.06","58.66","58.88","56.05","55.92","55.51","54.18","53.53","","",
"Comoros","COM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.3","","","","","","","","","","",
"Cabo Verde","CPV","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.52","","","","","43.82","","","","","","","",
"Costa Rica","CRI","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","34.42","","","46.69","45.3","46.65","45.71","46","46.75","45.71","46.54","45.62","45.67","47.67","47.44","51.1","50.89","49.93","48.92","47.77","49.31","49.49","49.14","50.97","48.1","48.6","48.61","","",
"Caribbean small states","CSS","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4","","","","","26.6","","","25.82","","","","","","","","","26.95","26.74","","26.29","26.18","26.63","26.39","","","",
"Germany","DEU","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.61","","","","","30.01","","","","","","29.44","","","","31.5","","","31.83","","","30.63","","","","",
"Djibouti","DJI","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.96","","","","","","","","","","","","",
"Dominica","DMA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8","","","","","25.24","","","23.25","","","","","24.06","","","","24.6","","","25.98","","","26.88","","","","",
"Dominican Republic","DOM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","47.78","","","50.46","","","51.36","","","","47.43","48.92","","","52.01","50.43","50.12","52.09","51.95","49.96","51.9","48.69","49","48.86","47.2","47.4","45.68","","",
"Algeria","DZA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.19","","","","","","","35.33","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (developing only)","EAP","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (developing only)","ECA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (all income levels)","ECS","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.49","","","","","","","54.32","50.97","","","49.66","58.6","56.38","","","54.99","54.12","54.12","53.2","54.33","50.61","49.28","49.26","46.21","46.57","","",
"Egypt, Arab Rep.","EGY","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","30.13","","","","32.76","","","","32.14","","","","30.75","","","","","","",
"Euro area","EMU","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.33","","","","","37.11","","","","","34.35","","","","33.73","","","32.65","","","35.75","","","","",
"Estonia","EST","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.97","","","","","39.5","","30.06","","","37.64","","35.78","36.01","35.79","34.91","","33.63","33.76","31.25","32","31.59","32.16","32.69","","","",
"Ethiopia","ETH","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.96","","","","30","","","","","","29.83","","","","","33.6","","","","",
"European Union","EUU","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.19","","","","22.94","","","","23.47","","","","","27.16","","","","28.27","","","28.2","","","27.79","","","","",
"Fiji","FJI","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.81","","","","","","42.83","","","","","","",
"France","FRA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","32.4","","","","","","31.24","","","","","31.69","","","","","","","","","",
"Faeroe Islands","FRO","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1","","","","","","","","","","","","","","",
"Gabon","GAB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.19","","","","","","","","","",
"United Kingdom","GBR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.21","","","36.68","36.83","","","","37.96","","","","","37.63","","","38.07","","","38.04","","","","",
"Georgia","GEO","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.13","41.88","41.26","40.12","40.48","39.57","39.63","39.53","39.78","40.34","40.09","40.6","40.57","41.74","42.13","41.58","41.35","","",
"Ghana","GHA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.35","35.99","","","38.13","","","","","","","40.75","","","","","","","42.76","","","","","","","","","",
"Guinea","GIN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.84","","","44.87","","","","","","","","","40.3","","","","39.35","","","","","33.68","","",
"Gambia, The","GMB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.23","","","","","47.28","","","","","","","","","","","",
"Guinea-Bissau","GNB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.84","","","","","","","","","35.52","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.21","","","","","34.36","","","","33.72","","","33.96","","","34.74","","","","",
"Grenada","GRD","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.26","","59.6","","","","","","","","","55.8","","54.84","","56.94","54.1","50.73","","54.89","","","","","52.35","","","",
"Guam","GUM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.55","","","","","","44.54","","","","","","","","","","","","","","","","",
"High income","HIC","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","55.09","","","59.49","57.36","51.85","51.83","53.47","55.01","55.49","55.72","52.73","57.43","55.35","","54.08","58.78","58.66","58.41","59.51","57.42","56.16","55.74","51.56","53.39","57.4","","","",
"Heavily indebted poor countries (HIPC)","HPC","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.78","","","","","","","","","","28.45","27.71","31.33","31.1","","","28.83","","","","33.61","","","","","","",
"Haiti","HTI","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.21","","","","","","","","","","","","","",
"Hungary","HUN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.96","","25.05","","","","27.94","","","","","26.38","27.8","27.23","26.92","26.84","30.93","","30.19","28.3","","27.53","","29.37","28.94","","","",
"Indonesia","IDN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.27","","","29.19","","","29.31","","","31.33","","","28.99","","","29.74","","","34.01","","","34.11","","35.57","38.1406894995898","","","",
"Isle of Man","IMN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.88","","","","","","30.82","","","","","","","","","","","33.38","","","","","33.9","","33.6016803694848","","","",
"Not classified","INX","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.49","","","","","","","36.92","37.04","35.62","","","","33.22","","","","33.79","","","31.73","","","32.06","","","","",
"Iran, Islamic Rep.","IRN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","47.42","","","","43.6","","","","43","","","","44.1","","","","","","","38.28","","","","","","","","","",
"Iraq","IRQ","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6","","","","","29.54","","",
"Iceland","ISL","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.81","","","29.32","","","26.3","","","","",
"Israel","ISR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","36.49","","","","","","35.5","","","","","38.1","","","","39.2","","","","41.86","","41.18","","","42.78","","","","",
"Italy","ITA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","32.52","34.55","","32.68","","31.47","","35.54","","35.83","","","37.6","","35.99","","","","37.27","","","","35.45","","35.52","","","","",
"Jamaica","JAM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.16","","42.2","","","35.67","","","40.47","","","44.22","","69.17","48.34","","45.51","","","","","","","","","","",
"Jordan","JOR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","36.06","","","","","","43.36","","","","","36.42","","","","","38.87","","","","33.89","","32.63","","33.69","","","","",
"Japan","JPN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.11","","","","","","",
"Kazakhstan","KAZ","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.74","","","","","32.67","","","35.32","","","","","33.67","32.75","31.63","30.25","26.83","29.98","29.59","29.07","","28.56","","","","",
"Kenya","KEN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.46","","42.07","","","46.39","","","","","","","","47.68","","","","","","","","","",
"Kyrgyz Republic","KGZ","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.01","","","","","53.7","","","","","35.98","","30.84","30.01","30.05","28.72","34.77","38.32","38.4","33.43","36.46","35.79","35.41","33.39","","","",
"Cambodia","KHM","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.28","","","","","","","","","","35.53","","","41.25","35.15","34.67","33.55","31.82","","","",
"Kiribati","KIR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kosovo","","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (developing only)","LAC","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.43","","","","","34.91","","","","","32.47","","","","","35.46","","","","","36.22","","",
"Lebanon","LBN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.16","","","","","","","",
"Libya","LBY","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.58","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (all income levels)","LCN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
